name,score,k
large228.in,5665.815003314424,8
large229.in,739.905609893065,4
large23.in,449.2277266951576,3
large230.in,272.8281828459045,2
large231.in,272.8281828459045,2
large232.in,2009.637877844624,6
large233.in,8392.815003314423,7
large234.in,7398.815003314424,7
large235.in,739.905609893065,4
large236.in,949.905609893065,4
large237.in,7519.815003314424,8
large238.in,739.905609893065,4
large239.in,560.2277266951576,3
large24.in,739.905609893065,4
large240.in,35517.56088149595,9
large241.in,739.905609893065,4
large242.in,10097.815003314425,8
large243.in,1219.2493960703473,5
large244.in,2009.637877844623,6
large245.in,3897.637877844626,6
large246.in,739.905609893065,4
large247.in,2056.637877844628,6
large248.in,8655.815003314423,8
large249.in,272.8281828459045,2
large25.in,739.905609893065,4
large250.in,6623.815003314424,8
large251.in,2306.6378778446265,6
large252.in,2114.637877844627,6
large253.in,40127.32003841591,11
large254.in,2009.637877844628,6
large255.in,4021.637877844627,6
large256.in,14842.31591025766,10
large257.in,8722.919064037766,8
large258.in,272.8281828459045,2
large259.in,2029.6378778446283,6
large26.in,17162.815003314423,8
large260.in,5460.815003314424,8
large27.in,7351.919064037762,8
large28.in,2009.6378778446244,6
large29.in,8485.919064037762,8
large3.in,40344.04259865842,10
large30.in,34290.80216654946,8
large31.in,739.905609893065,4
large32.in,449.2277266952686,3
large33.in,8460.815003314423,8
large34.in,10103.815003314425,8
large35.in,14842.31591025766,10
large36.in,449.2277266951576,4
large37.in,2009.637877844624,6
large38.in,18059.82968095557,10
large39.in,739.905609893065,4
large4.in,61406.37481698373,12
large40.in,18602.78135317254,9
large41.in,272.8281828459045,2
large42.in,38188.39523749404,11
large43.in,272.8281828459045,2
large44.in,531.2277266951576,4
large45.in,12554.88198445573,9
large46.in,272.8281828459045,2
large47.in,68470.2622464652,11
large48.in,35035.802166548,8
large49.in,14842.31591025766,10
large5.in,5477.815003314424,8
large50.in,2009.637877844627,6
large51.in,739.905609893065,4
large52.in,7459.815003314424,8
large53.in,739.905609893065,4
large54.in,2019.637877844625,6
large55.in,2009.6378778446256,6
large56.in,6633.815003314424,8
large57.in,2009.637877844625,6
large58.in,739.905609893065,4
large59.in,12311.259650403135,9
large6.in,766.2277266951576,2
large60.in,12554.88198445607,9
large61.in,10236.825859869634,8
large62.in,36620.70545948748,11
large63.in,5460.815003314424,8
large64.in,7392.815003314424,8
large65.in,1490.2493960703473,6
large66.in,55925.80216654783,8
large67.in,11481.815003314425,8
large68.in,1332.2493960703473,4
large69.in,739.905609893065,4
large7.in,6218.815003314424,8
large70.in,739.905609893065,4
large71.in,43679.802166548325,8
large72.in,739.905609893065,4
large73.in,5460.815003314424,8
large74.in,5460.815003314424,8
large75.in,55823.56088149561,8
large76.in,739.905609893065,2
large77.in,739.905609893065,4
large78.in,4179.249396070347,6
large79.in,55925.802166548325,8
large8.in,8611.815003314423,8
large80.in,2708.637877844627,6
large81.in,13175.802166549132,8
large82.in,8526.815003314423,8
large83.in,739.905609893065,4
large84.in,69994.26224646515,11
large85.in,449.6608560424044,3
large86.in,8497.815003314423,8
large87.in,5460.815003314424,8
large88.in,84777.32003841591,11
large89.in,5462.815003314424,8
large9.in,5990.815003314424,8
large90.in,739.905609893065,4
large91.in,9314.611114215351,7
large92.in,6381.815003314424,8
large93.in,3197.637877844626,6
large94.in,70470.26224646522,11
large95.in,5460.815003314424,8
large96.in,272.8281828459045,2
large97.in,5460.815003314424,8
large98.in,6440.965277113281,8
large99.in,739.905609893065,4
medium1.in,96559.31664124977,12
medium10.in,86690.42232091131,12
medium100.in,449.1689070338065,4
medium101.in,89332.42232091131,12
medium102.in,60584.01581064693,12
medium103.in,449.1689070338065,4
medium104.in,771.905609893065,4
medium105.in,272.8281828459045,2
medium106.in,1219.2493960703473,5
